API-Name,URL,Endpunkt,Beschreibung,Lizenz,Inhalte & Formate,Einschränkungen,Dokumentation,Zugangsbeschaffung,Zuletzt gesichtet
Linked Data Service with DNB SPARQL Service,https://www.dnb.de/EN/Professionell/Metadatendienste/Datenbezug/LDS/lds.html,"SRU: https://services.dnb.de/sru/dnb | OAI-PMH: https://services.dnb.de/oai/repository | SPARQL (BETA): https://data.dnb.de/sparql","Nationalbibliografische Daten und GND-Normdaten der Deutschen Nationalbibliothek im RDF-Format als Beitrag zum globalen Semantic Web.",CC BY 4.0,"RDF-Serialisierungen: Turtle, RDF/XML, JSON-LD (UTF-8 NFD) | SRU-Schnittstelle (Standardsuche) | OAI-PMH-Schnittstelle (Metadaten-Harvesting) | DNB SPARQL Service BETA (verfügbar seit September 2025) | Data Shop (RDF-Downloads)","Anfragenlimits nicht angegeben; Kontakt: metadatendienste@dnb.de","DNB LDS-Dokumentation | Geschäftsmodell | SPARQL Service","Keine Authentifizierung für Lesezugriff angegeben. Kontakt: metadatendienste@dnb.de",
Nominatim,https://nominatim.org/release-docs/latest/,https://nominatim.openstreetmap.org/,"Suche in OSM-Daten nach Name und Adresse; Reverse Geocoding (Koordinaten in Adressen umwandeln); eingeschränkte Suche nach Objekttypen (z.B. Kneipen, Hotels, Kirchen).",Open Source (GNU GPL) | OSM-Daten unter ODbL,"REST API | Ausgabeformate: JSON, XML, GeoJSON, GeocodeJSON | Endpunkte: /search, /reverse, /lookup, /status, /details","Max. 1 Anfrage/Sek. auf der öffentlichen Instanz (https://nominatim.openstreetmap.org/). Kein Massen-Geocoding. Für intensiven Einsatz wird Self-Hosting empfohlen.","Nominatim API-Dokumentation | Nutzungsrichtlinien","Kein API-Schlüssel erforderlich. Einhaltung der Nominatim-Nutzungsrichtlinien erforderlich. Self-Hosting für hohe Anfragevolumen empfohlen.",
OpenAlex,https://developers.openalex.org/api-reference/introduction,https://api.openalex.org/,"Open-Source-Zitationsdatenbank mit >450 Millionen wissenschaftlichen Werken. Offene Alternative zu Scopus/Web of Science. Quellen: Crossref, DOAJ, Microsoft Academic Graph, ORCID, Unpaywall, PubMed, PubMed Central, ROR. Deckt graue Literatur, Preprints und nicht-englischsprachige Forschung ab.",✅ Frei zugänglich (CC0) | ❌ Premium-API-Zugang auf Institutionsebene ist kostenpflichtig,"REST API (JSON) | Endpunkte: works, authors, sources, institutions, topics, publishers, funders | Komplexe Filter unterstützt (z.B. in DOAJ indexiert) | Snapshots (JSONL): vollständige Datenbank, monatlich aktualisiert | Content API: PDF-Volltexte (100 Credits/PDF), TEI XML, Markdown (geplant)","100 Credits/24h ohne API-Schlüssel | 100.000 Credits/24h mit kostenlosem API-Schlüssel | Max. 100 Abfragen/Sek. pro Nutzer | Einzelne Entität = 1 Credit; Liste von Entitäten = 10 Credits | PDF-Massendownloads erfordern Enterprise-Credits","OpenAlex Weboberfläche | OpenAlex API-Referenz | Vergleich mit anderen wissenschaftlichen Datenquellen | Preise und Anfragenlimits | Tutorials | Blog","Kostenloser API-Schlüssel erforderlich. Siehe: https://docs.openalex.org/how-to-use-the-api/api-overview",
Open Parl Data API,https://opendata.ch/news/test-our-open-parl-data-api/,https://api.openparliament.ch/ (vorläufig),"Harmonisierte Parlamentsdaten aus 74 nationalen, kantonalen und kommunalen Parlamenten in 46 Städten, 26 Kantonen und 2 Ländern (Schweiz und Liechtenstein). Umfasst Motionen, Abstimmungen, Mitglieder und Sitzungen.",✅ Offene Daten (opendata.ch),"REST API (JSON) | Daten: parlamentarische Motionen, Abstimmungen, Mitglieder, Sitzungen | Abdeckung: nationale, kantonale und kommunale Parlamente in CH/LI","Anfragenlimits nicht angegeben; Kontakt: opendata.ch","opendata.ch-Ankündigung | Projektdokumentation","opendata.ch für Zugang kontaktieren; API befindet sich möglicherweise noch in der Testphase (Stand: August 2025)",
ORCID API,https://info.orcid.org/what-is-orcid/services/public-api/,https://pub.orcid.org/v3.0/,"Öffentliche API für Nicht-Mitgliedsorganisationen zur maschinellen Anbindung an das ORCID-Register. Unterstützt OAuth-Anmeldung, ORCID-iD-Erfassung, Abruf öffentlicher Datensätze und Registersuche.",Nutzungsbedingungen der ORCID Public APIs,"RESTful API | Formate: XML und JSON | Endpunkte: OAuth-Anmeldung, Abruf öffentlicher Daten, Registersuche, ORCID-iD-Validierung","Anfragenlimits in der Dokumentation nicht angegeben.","ORCID Public API-Dokumentation | ORCID API-Tutorial","Anwendung über ORCID Developer Tools registrieren (E-Mail-Verifizierung erforderlich). Vor dem Produktionsbetrieb auf der Sandbox (sandbox.orcid.org) testen.",
Overpass API,https://wiki.openstreetmap.org/wiki/Overpass_API,"Hauptinstanz: https://overpass-api.de/api/interpreter | CH: https://overpass.osm.ch/api/interpreter","Read-only-Datenbank-API zur Abfrage von OpenStreetMap-Daten. Abfragen nach Standort, Objekttyp, Tags, Nähe oder Kombinationen. Optimiert für Datenkonsumenten, die spezifische Kartenelemente benötigen.",GNU AGPL v3 | OSM-Daten unter CC BY-SA 2.0,"Abfragesprachen: Overpass QL, XML | Ausgabeformate: JSON, XML, CSV, GeoJSON, GPX","<10.000 Abfragen/Tag und <1 GB/Tag auf öffentlichen Instanzen empfohlen. Für intensive Nutzung lokale Instanz verwenden.","OSM-Wiki: Overpass API | Overpass Turbo (interaktiv) | Overpass API-Dokumentation",Kein API-Schlüssel für öffentliche Instanzen erforderlich.,
PubMed Central,https://pmc.ncbi.nlm.nih.gov/tools/developers/,"E-Utilities: https://eutils.ncbi.nlm.nih.gov/entrez/eutils/ | OAI-PMH: https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi | BioC API: https://www.ncbi.nlm.nih.gov/research/bionlp/APIs/BioC-PMC/","Volltextzugang zu biomedizinischer Literatur. Sammlungen: PMC Open Access (Volltexte), Author Manuscript, Historical OCR (18.–20. Jh.), LitArch Open Access.",✅ Frei zugänglich | CC-Lizenzierung inkl. kommerzielle Nutzung | ⚠️ Volltext- und TDM-Berechtigungen richten sich nach dem Artikellizenzstatus,"Volltextformate: JSON, JATS-XML, TXT, BioC, PDF, Mediendateien | API-Dienste: PMC Cloud Service, PMC OAI-PMH, PMC FTP, E-Utilities, BioC API","Mehrere gleichzeitige Abfragen vermeiden. Massenzugriff muss über FTP oder Cloud Service erfolgen; kein API-Massendownload.","NCBI Entwicklerübersicht | E-Utilities Guide | BioC API-Dokumentation | PMC FTP-Dienst","Kein API-Schlüssel erforderlich, aber NCBI verlangt Angabe von Tool-Name und E-Mail-Adresse.",
Semantic Scholar,https://www.semanticscholar.org/product/api,https://api.semanticscholar.org/,"REST API für wissenschaftliche Literatur. Academic Graph API: Artikel, Autoren, Zitierungen, Veranstaltungsorte, SPECTER2-Embeddings. Recommendations API: ähnliche Artikel. Datasets API: Massendownloads für lokale Speicherung.",✅ Frei zugänglich (keine CC-Lizenz) | ⚠️ API-Nutzung unterliegt eigenem Lizenzvertrag,"REST API (JSON) | Academic Graph API | Recommendations API | Datasets API (Massendownloads)","Max. 500 Artikel-IDs pro Batch | Max. 10 MB pro Antwort | Max. 9.999 Zitierungen pro Aufruf | Mit API-Schlüssel weniger restriktiv (siehe Dokumentation)","Semantic Scholar API-Dokumentation | Python Client Library | API-Tutorial","Kein API-Schlüssel erforderlich, aber empfohlen. Individueller Lizenzvertrag für die Nutzung erforderlich.",
Unpaywall,https://unpaywall.org/products/api,https://api.unpaywall.org/v2/,"DOI-basierte OA-Metadaten-API. Liefert OA-Status (gold/grün/hybrid/bronze/closed), Lizenzlinks, best_oa_location und Volltext-URLs. Unterstützt auch Titelsuche.",✅ Frei zugänglich,"REST API (JSON) | DOI-basierte Abfrage | Titelsuche (max. 50 Ergebnisse/Seite) | Daten-Dumps für groß angelegte Projekte verfügbar","<100.000 Aufrufe/24 Stunden | Titelsuche: max. 50 Ergebnisse/Seite | Für groß angelegte Projekte: Daten-Dumps verwenden","API-Dokumentation | Unpaywall Support-Portal | Verwendung der Titelsuche API | Wie Unpaywall Open Science verändert","Kein API-Schlüssel erforderlich. Anfragen müssen eine E-Mail-Adresse als URL-Parameter enthalten (z.B. ?email=ihre@email.de).",
VIAF API,https://developer.api.oclc.org/viaf-api,https://viaf.org/viaf/,"Virtual International Authority File: Verknüpfte Normdaten nationaler Bibliotheken weltweit. Fasst mehrere LAM-Normdateien (Bibliotheken, Archive, Museen) in einem einzigen Dienst zusammen.",ODC Attribution License (ODC-By) | Namensnennung erforderlich,"JSON, XML, RDF | URI-basierter Zugang mit HTTP-Content-Negotiation | Beispiel: https://viaf.org/viaf/49224511 | Datendateien für Massendownload verfügbar","Anfragenlimits nicht angegeben. Hinweis: Massen-Datendateien zuletzt im August 2024 aktualisiert (Updates wegen Sicherheitsverbesserungen pausiert).","OCLC Developer Portal (erfordert JavaScript) | VIAF-Daten-Downloads","Kein API-Schlüssel für öffentlichen URI-basierten Zugang erforderlich. OCLC-Konto möglicherweise für das vollständige Entwicklerportal erforderlich.",
Wikidata:SPARQL,https://www.wikidata.org/wiki/Wikidata:SPARQL_query_service,https://query.wikidata.org/sparql,"SPARQL-Abfragedienst für strukturierte Linked Data in Wikidata. Betreibt die Wikidata Query Service-Weboberfläche.",CC0 (Gemeinfrei),"SPARQL 1.1 | Ausgabeformate: JSON, XML, CSV, TSV, Turtle, N-Triples, JSON-LD | Interaktiv: https://query.wikidata.org/","60-Sekunden-Abfragetimeout | Max. 5 gleichzeitige Abfragen pro IP | Kein Massendownload über SPARQL (stattdessen Wikidata-Dumps verwenden)","Wikidata SPARQL Query Service | SPARQL-Tutorial | MediaWiki Benutzerhandbuch",Kein API-Schlüssel erforderlich.,
opendata.swiss API,https://handbook.opendata.swiss/de/content/nutzen/api-nutzen.html,https://ckan.opendata.swiss/api/3/action/,"Programmatischer Zugang zum nationalen Open-Data-Katalog der Schweiz, aufgebaut auf der CKAN-Plattform. Datensätze suchen, Metadaten abrufen, Ressourcen verwalten.",Datensätze unter verschiedenen offenen Lizenzen | CKAN-Plattform (Open Source),"REST API (JSON) | CKAN Action API | Wichtige Endpunkte: package_search, package_show, organization_list, group_list, status_show | Antwort: JSON mit den Feldern help, success, result","Anfragenlimits nicht angegeben.","opendata.swiss API-Handbuch | CKAN API-Dokumentation","Lesezugriff: keine Authentifizierung erforderlich | Schreiboperationen (package_create, package_patch): API-Schlüssel erforderlich (im Nutzerprofil des opendata.swiss-Backends abrufbar)",
