API Name,URL,Endpoint,Description,License,Content & Formats,Limitations,Documentation,How to Request Access,Last Sighted
Linked Data Service with DNB SPARQL Service,https://www.dnb.de/EN/Professionell/Metadatendienste/Datenbezug/LDS/lds.html,"SRU: https://services.dnb.de/sru/dnb | OAI-PMH: https://services.dnb.de/oai/repository | SPARQL (BETA): https://data.dnb.de/sparql","German National Library national bibliographic data and GND authority data in RDF format, contributing to the global semantic web.",CC BY 4.0,"RDF serializations: Turtle, RDF/XML, JSON-LD (UTF-8 NFD) | SRU interface (standard search) | OAI-PMH interface (metadata harvesting) | DNB SPARQL Service BETA (available since September 2025) | Data Shop (RDF downloads)","Rate limits not specified; contact metadatendienste@dnb.de","DNB LDS Documentation | Business Model | SPARQL Service","No authentication specified for read access. Contact: metadatendienste@dnb.de",
Nominatim,https://nominatim.org/release-docs/latest/,https://nominatim.openstreetmap.org/,"Search OSM data by name and address; reverse geocoding (generate addresses from coordinates); limited feature-type search (e.g., pubs, hotels, churches).",Open source (GNU GPL) | OSM data under ODbL,"REST API | Output formats: JSON, XML, GeoJSON, GeocodeJSON | Endpoints: /search, /reverse, /lookup, /status, /details","Max 1 request/sec on public instance (https://nominatim.openstreetmap.org/). No bulk geocoding. Self-hosting recommended for heavy use.","Nominatim API Documentation | Usage Policy","No API key required. Must comply with Nominatim Usage Policy. Self-hosting encouraged for high-volume use.",
OpenAlex,https://developers.openalex.org/api-reference/introduction,https://api.openalex.org/,"Open-source citation database with >450 million scholarly works. Open alternative to Scopus/Web of Science. Sources: Crossref, DOAJ, Microsoft Academic Graph, ORCID, Unpaywall, PubMed, PubMed Central, ROR. Covers grey literature, preprints, non-English research.",✅ Freely accessible (CC0) | ❌ Premium institution-level API access is fee-based,"REST API (JSON) | Endpoints: works, authors, sources, institutions, topics, publishers, funders | Complex filters supported (e.g., indexed by DOAJ) | Snapshots (JSONL): full database, updated monthly | Content API: PDF full texts (100 credits/PDF), TEI XML, Markdown (planned)","100 credits/24h without API key | 100,000 credits/24h with free API key | Max 100 queries/sec per user | Single entity = 1 credit; list of entities = 10 credits | Bulk PDF downloads require Enterprise credits","OpenAlex Web Interface | OpenAlex API Reference | Comparison with other scholarly data sources | Pricing and Rate Limits | Tutorials | Blog","Free API key required. See: https://docs.openalex.org/how-to-use-the-api/api-overview",
Open Parl Data API,https://opendata.ch/news/test-our-open-parl-data-api/,https://api.openparliament.ch/ (tentative),"Harmonized parliamentary data from 74 national, cantonal and municipal parliaments across 46 cities, 26 cantons, and 2 countries (Switzerland and Liechtenstein). Covers motions, votes, members, and sessions.",✅ Open data (opendata.ch),"REST API (JSON) | Data: parliamentary motions, votes, members, sessions | Coverage: national, cantonal, and municipal parliaments in CH/LI","Rate limits not specified; contact opendata.ch","opendata.ch announcement | Project documentation","Contact opendata.ch for access; API may still be in testing phase (as of August 2025)",
ORCID API,https://info.orcid.org/what-is-orcid/services/public-api/,https://pub.orcid.org/v3.0/,"Public API for non-member organizations to connect to the ORCID registry via machine-to-machine communications. Supports OAuth sign-in, ORCID iD collection, public record retrieval, and registry search.",ORCID Public APIs Terms of Service,"RESTful API | Formats: XML and JSON | Endpoints: OAuth sign-in, public data retrieval, registry search, ORCID iD validation","Rate limits not specified in documentation.","ORCID Public API Documentation | ORCID API Tutorial","Register application via ORCID Developer Tools (email verification required). Test on sandbox (sandbox.orcid.org) before production.",
Overpass API,https://wiki.openstreetmap.org/wiki/Overpass_API,"Main: https://overpass-api.de/api/interpreter | CH: https://overpass.osm.ch/api/interpreter","Read-only database API for querying OpenStreetMap data. Query by location, object type, tags, proximity, or combinations. Optimized for data consumers needing specific map elements.",GNU AGPL v3 | OSM data under CC BY-SA 2.0,"Query languages: Overpass QL, XML | Output formats: JSON, XML, CSV, GeoJSON, GPX","<10,000 queries/day and <1 GB/day recommended on public instances. Use a local instance for heavy workloads.","OSM Wiki: Overpass API | Overpass Turbo (interactive) | Overpass API Documentation",No API key required for public instances.,
PubMed Central,https://pmc.ncbi.nlm.nih.gov/tools/developers/,"E-Utilities: https://eutils.ncbi.nlm.nih.gov/entrez/eutils/ | OAI-PMH: https://www.ncbi.nlm.nih.gov/pmc/oai/oai.cgi | BioC API: https://www.ncbi.nlm.nih.gov/research/bionlp/APIs/BioC-PMC/","Full-text access to biomedical literature. Collections: PMC Open Access (full texts), Author Manuscript, Historical OCR (18th-20th century), LitArch Open Access.",✅ Freely accessible | CC licensing including commercial use | ⚠️ Full-text and TDM permissions determined by article license status,"Full-text formats: JSON, JATS-XML, TXT, BioC, PDF, media files | API services: PMC Cloud Service, PMC OAI-PMH, PMC FTP, E-Utilities, BioC API","Avoid multiple simultaneous queries. Bulk access must use FTP or Cloud Service; no API bulk download.","NCBI Developers Overview | E-Utilities Guide | BioC API Documentation | PMC FTP Service","No API key required, but NCBI requires clients to provide a tool name and email address.",
Semantic Scholar,https://www.semanticscholar.org/product/api,https://api.semanticscholar.org/,"REST API for academic literature. Academic Graph API: papers, authors, citations, venues, SPECTER2 embeddings. Recommendations API: similar papers. Datasets API: bulk downloads for local storage.",✅ Freely accessible (no CC license) | ⚠️ API usage governed by own license agreement,"REST API (JSON) | Academic Graph API | Recommendations API | Datasets API (bulk downloads)","Max 500 paper IDs per batch | Max 10 MB per response | Max 9,999 citations per call | Less restrictive with an API key (see documentation)","Semantic Scholar API Documentation | Python Client Library | API Tutorial","No API key required, but recommended. Individual license agreement required for use.",
Unpaywall,https://unpaywall.org/products/api,https://api.unpaywall.org/v2/,"DOI-based OA metadata API. Returns OA status (gold/green/hybrid/bronze/closed), license links, best_oa_location, and full-text URLs. Also supports title search.",✅ Freely accessible,"REST API (JSON) | DOI-based lookup | Title search (max 50 results/page) | Data dumps available for large-scale projects","<100,000 calls/24 hours | Title search: max 50 results/page | Large-scale projects: use data dumps","API Documentation | Unpaywall Support Portal | How to use the title search API | How Unpaywall is transforming Open Science","No API key required. Requests must include an email address as URL parameter (e.g., ?email=you@example.com).",
VIAF API,https://developer.api.oclc.org/viaf-api,https://viaf.org/viaf/,"Virtual International Authority File: linked authority data from national libraries worldwide. Virtually combines multiple LAM (Library, Archives, Museum) name authority files into a single service.",ODC Attribution License (ODC-By) | Attribution required,"JSON, XML, RDF | URI-based access with HTTP content negotiation | Example: https://viaf.org/viaf/49224511 | Data files available for bulk download","Rate limits not specified. Note: bulk data files last updated August 2024 (updates paused for security improvements).","OCLC Developer Portal (requires JavaScript) | VIAF Data Downloads","No API key required for public URI-based access. OCLC account may be required for full developer portal.",
Wikidata:SPARQL,https://www.wikidata.org/wiki/Wikidata:SPARQL_query_service,https://query.wikidata.org/sparql,"SPARQL query service for querying structured linked data in Wikidata. Powers the Wikidata Query Service web interface.",CC0 (public domain),"SPARQL 1.1 | Output formats: JSON, XML, CSV, TSV, Turtle, N-Triples, JSON-LD | Interactive: https://query.wikidata.org/","60-second query timeout | Max 5 concurrent queries per IP | No bulk download via SPARQL (use Wikidata dumps instead)","Wikidata SPARQL Query Service | SPARQL Tutorial | MediaWiki User Manual",No API key required.,
opendata.swiss API,https://handbook.opendata.swiss/de/content/nutzen/api-nutzen.html,https://ckan.opendata.swiss/api/3/action/,"Programmatic access to Switzerland's national open data catalog, built on the CKAN platform. Search datasets, retrieve metadata, manage resources.",Datasets under various open licenses | CKAN platform (open source),"REST API (JSON) | CKAN Action API | Key endpoints: package_search, package_show, organization_list, group_list, status_show | Response: JSON with help, success, result fields","Rate limits not specified.","opendata.swiss API Handbook | CKAN API Documentation","Read-only: no authentication required | Write operations (package_create, package_patch): API key required (available from user profile page in opendata.swiss backend)",
